נושא על,תגית מאוחדת,כמה אוחדו,תגית מקורית,תת נושא,הצעות חוק,השאלה המלאה
"כלכלה, מיסים ויוקר המחיה","בנקים ואשראי","4","פיקוח על הבנקים","בנקאות, אשראי ושוק ההון","47","האם על המדינה להתערב בריביות, בעמלות וברווחי הבנקים כדי להגן על הצרכנים?"
"כלכלה, מיסים ויוקר המחיה","בנקים ואשראי","4","אשראי לאוכלוסיות מוחלשות","בנקאות, אשראי ושוק ההון","11","האם על המדינה להתערב כדי להנגיש שירותים פיננסיים ואשראי לאוכלוסיות מוחלשות ועסקים קטנים?"
"כלכלה, מיסים ויוקר המחיה","בנקים ואשראי","4","רגולציה פיננסית סביבתית","בנקאות, אשראי ושוק ההון","5","האם להטיל חובות רגולטוריות חדשות על גופים פיננסיים וחברות כדי לקדם מטרות חברתיות וסביבתיות?"
"בריאות ורווחה","משפחות וילדים","5","סיוע למשפחות עובדות","ילדים, משפחות והורות","96","האם יש לתת עדיפות להרחבת הסיוע הכלכלי והרווחתי למשפחות ולהורים עובדים?"
"בריאות ורווחה","משפחות וילדים","5","פיקוח על הורים","ילדים, משפחות והורות","34","האם להחמיר את הפיקוח והמגבלות על הורים ואפוטרופסים במצבי סיכון ומשפחה מורכבים?"
"בריאות ורווחה","משפחות וילדים","5","תנאי אימוץ והורות","ילדים, משפחות והורות","14","האם יש לפתוח את מסגרות האימוץ וההורות המשותפת לכל אדם ללא תלות במבנה משפחתי מסורתי?"
"בריאות ורווחה","משפחות וילדים","5","גירושין אזרחיים","ילדים, משפחות והורות","8","האם יש לאפשר פרידה וגירושין במסגרת אזרחית אחידה ללא תלות בערכאות דתיות?"
"בריאות ורווחה","משפחות וילדים","5","חזקת הגיל הרך","ילדים, משפחות והורות","5","האם יש לבטל את חזקת הגיל הרך כדי ליצור שוויון מלא בין אמהות לאבות בגירושין?"
"משפט, ממשל ודמוקרטיה","שלטון ומינויים בכירים","6","מינויים מקצועיים","ממשלה, שירות ציבורי ומינויים","48","האם לאפשר לשרים שליטה רבה יותר במינויים מקצועיים ובחברות ממשלתיות?"
"משפט, ממשל ודמוקרטיה","שלטון ומינויים בכירים","6","סמכויות הרשות המבצעת","ממשלה, שירות ציבורי ומינויים","40","האם יש להגביל את כוחה ושיקול דעתה של הרשות המבצעת באמצעות פיקוח והסדרה מחמירים?"
"משפט, ממשל ודמוקרטיה","שלטון ומינויים בכירים","6","הגבלת כהונת רהמ","ממשלה, שירות ציבורי ומינויים","23","האם להגביל את מספר השרים, תקופת הכהונה של ראש הממשלה ומספר הקדנציות בממשלה?"
"משפט, ממשל ודמוקרטיה","שלטון ומינויים בכירים","6","התערבות משפטית במינויים","ממשלה, שירות ציבורי ומינויים","15","האם יש לצמצם את התערבות מערכת המשפט במינויי בכירים ובשיקול דעת הממשלה והכנסת?"
"משפט, ממשל ודמוקרטיה","שלטון ומינויים בכירים","6","פיצול היועמש","ממשלה, שירות ציבורי ומינויים","6","האם יש לפצל את סמכויות הייעוץ המשפטי לממשלה ותפקיד התביעה הכללית?"
"משפט, ממשל ודמוקרטיה","שלטון ומינויים בכירים","6","כהונת נבחרי ציבור","משפט פלילי, ענישה ואכיפה","11","האם יש להגביל כעת את כהונתם של נבחרי ציבור המתמודדים עם הליכים פליליים חמורים?"
"בריאות ורווחה","קצבאות וביטוח לאומי","5","הרחבת קצבאות סוציאליות","ביטוח לאומי וקצבאות","50","האם על המדינה להרחיב באופן משמעותי את הזכאות לקצבאות והטבות סוציאליות גם במחיר הגדלת ההוצאה הציבורית?"
"בריאות ורווחה","קצבאות וביטוח לאומי","5","קצבאות ביטוח לאומי","ביטוח לאומי וקצבאות","34","האם להגדיל את קצבאות הביטוח הלאומי כדי לצמצם את העוני בקרב אוכלוסיות מוחלשות?"
"בריאות ורווחה","קצבאות וביטוח לאומי","5","קצבאות אזרחים ותקים","ביטוח לאומי וקצבאות","24","האם יש להגדיל באופן משמעותי את קצבאות האזרחים הוותיקים והבטחת ההכנסה כדי להילחם בעוני?"
"בריאות ורווחה","קצבאות וביטוח לאומי","5","שילוב עבודה וקצבאות","ביטוח לאומי וקצבאות","22","האם לאפשר לשלב עבודה ולימודים מבלי לאבד קצבאות קיום?"
"בריאות ורווחה","קצבאות וביטוח לאומי","5","התניית קצבאות בשירות","ביטוח לאומי וקצבאות","12","האם להתנות מתן קצבאות והטבות סוציאליות במילוי חובות אזרחיות ושירות למדינה?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","טרור ועורף","4","ענישה בגין טרור","טרור וביטחון פנים","64","האם להחמיר את האכיפה והענישה נגד מעורבים בטרור, תומכיו וסמליו במרחב הציבורי?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","טרור ועורף","4","רישוי כלי ירייה","נשק ורישוי כלי ירייה","36","האם יש לתת עדיפות להחמרת ההגבלות והפיקוח על נשק, או להקל על אזרחים שומרי חוק לשאת נשק להגנה עצמית?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","טרור ועורף","4","חימוש אזרחים","טרור וביטחון פנים","21","האם להרחיב את סמכויות האכיפה והחימוש של גורמים אזרחיים ומקומיים לחיזוק הביטחון?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","טרור ועורף","4","זכויות נפגעי טרור","טרור וביטחון פנים","15","האם לתת עדיפות לזכויות ולצרכים של נפגעי טרור בהליכים משפטיים ובפיצויים?"
"משפט, ממשל ודמוקרטיה","הכנסת וחקיקה","5","פיקוח פרלמנטרי","הכנסת והליך החקיקה","65","האם יש להעניק לכנסת סמכויות אכיפה ופיקוח רחבות יותר על הרשות המבצעת?"
"משפט, ממשל ודמוקרטיה","הכנסת וחקיקה","5","יציבות הכנסת והממשלה","הכנסת והליך החקיקה","31","האם לחזק את יציבות הכנסת והממשלה באמצעות הקשחת תנאי פיזור והדחה?"
"משפט, ממשל ודמוקרטיה","הכנסת וחקיקה","5","הליך החקיקה","הכנסת והליך החקיקה","11","האם יש לחזק את הפיקוח הפרלמנטרי של הכנסת על הרשות המבצעת וגופי הממשל?"
"משפט, ממשל ודמוקרטיה","הכנסת וחקיקה","5","חסינות חברי הכנסת","הכנסת והליך החקיקה","8","האם יש להעניק לחברי הכנסת חסינות רחבה מפני חקירות והליכים משפטיים כדי להגן על עצמאות עבודתם?"
"משפט, ממשל ודמוקרטיה","הכנסת וחקיקה","5","פיקוח נבחרי ציבור","הכנסת והליך החקיקה","7","האם יש לחזק את מעורבות ופיקוח נבחרי הציבור על מוסדות המדינה והמינויים, או להרחיב את שיקול הדעת המקצועי של הגורמים המשפטיים והמקצועיים?"
"חינוך, תרבות ודת","השכלה גבוהה","5","פיקוח השכלה גבוהה","השכלה גבוהה והכשרה מקצועית","35","האם על המדינה להגדיל את המעורבות והפיקוח על מוסדות ההשכלה הגבוהה וההכשרה המקצועית?"
"חינוך, תרבות ודת","השכלה גבוהה","5","הטבות מילואים לסטודנטים","השכלה גבוהה והכשרה מקצועית","30","האם לתת עדיפות והטבות לסטודנטים המשרתים במילואים ובכוחות הביטחון?"
"חינוך, תרבות ודת","השכלה גבוהה","5","אקדמיה בפריפריה","השכלה גבוהה והכשרה מקצועית","18","האם על המדינה להשקיע משאבים מיוחדים בהקמת מוסדות אקדמיים ופקולטות חדשות בפריפריה?"
"חינוך, תרבות ודת","השכלה גבוהה","5","סבסוד שכר לימוד","השכלה גבוהה והכשרה מקצועית","12","האם יש לתת עדיפות לסבסוד והקלות כלכליות לסטודנטים ולאוכלוסיות ספציפיות כדי לצמצם פערים?"
"חינוך, תרבות ודת","השכלה גבוהה","5","פעילות פוליטית באוניברסיטאות","השכלה גבוהה והכשרה מקצועית","9","האם על המדינה להטיל סנקציות ולשלול תקציבים ממוסדות אקדמיים המאפשרים פעילות פוליטית קיצונית או תמיכה בטרור?"
"סביבה, חקלאות ושלטון מקומי","שלטון מקומי וארנונה","5","פטור מארנונה","רשויות מקומיות וממשל מקומי","37","האם להרחיב את ההקלות הכלכליות והפטורים מארנונה לאוכלוסיות נוספות ולעסקים נפגעים?"
"סביבה, חקלאות ושלטון מקומי","שלטון מקומי וארנונה","5","אוטונומיה לרשויות המקומיות","רשויות מקומיות וממשל מקומי","33","האם לאפשר לרשויות מקומיות מרחב פעולה עצמאי, או להחיל פיקוח ואחידות ארצית?"
"סביבה, חקלאות ושלטון מקומי","שלטון מקומי וארנונה","5","סיוע כלכלי לרשויות","רשויות מקומיות וממשל מקומי","16","האם יש לתת עדיפות לסיוע כלכלי ממשלתי ישיר לרשויות מקומיות מוחלשות כדי לצמצם פערים?"
"סביבה, חקלאות ושלטון מקומי","שלטון מקומי וארנונה","5","הדחת ראשי רשויות","רשויות מקומיות וממשל מקומי","10","האם לאפשר הדחה של ראשי רשויות ופעילי ציבור מקומיים הפועלים נגד המדינה?"
"סביבה, חקלאות ושלטון מקומי","שלטון מקומי וארנונה","5","כהונת ראשי רשויות","רשויות מקומיות וממשל מקומי","8","האם יש להגביל את כוחם וכהונתם של נבחרי ציבור בשלטון המקומי?"
"כלכלה, מיסים ויוקר המחיה","עסקים ותחרות במשק","4","רגולציה על עסקים","עסקים, חברות ורגולציה","73","האם להטיל רגולציה קפדנית ופיקוח ממשלתי על עסקים כדי להגן על הציבור, או לצמצם את הנטל הבירוקרטי והרגולטורי כדי לעודד פעילות עסקית?"
"כלכלה, מיסים ויוקר המחיה","עסקים ותחרות במשק","4","חברות ממשלתיות","עסקים, חברות ורגולציה","10","האם יש לתת עדיפות לשיקולים עסקיים ויעילות כלכלית בפעילות חברות ממשלתיות על פני יעדים לאומיים וגיאוגרפיים?"
"כלכלה, מיסים ויוקר המחיה","עסקים ותחרות במשק","4","פיקוח על עסקים","סחר, תעשייה, יבוא ותיירות","7","האם על המדינה להתערב ולהטיל מגבלות רגולטוריות ופיקוח מחמיר על פעילות עסקים, תעשייה ומסחר?"
"כלכלה, מיסים ויוקר המחיה","עסקים ותחרות במשק","4","תחרות במשק","עסקים, חברות ורגולציה","6","האם יש לתת עדיפות לעסקים קטנים ולקדם רגולציה ממשלתית לשם עידוד תחרות במשק?"
"בריאות ורווחה","אנשים עם מוגבלות","5","קצבאות נכות ונגישות","אנשים עם מוגבלות ונגישות","30","האם על המדינה להגדיל באופן משמעותי את תקציבי הקצבאות והסבסוד לאנשים עם מוגבלות?"
"בריאות ורווחה","אנשים עם מוגבלות","5","אנשים עם מוגבלות","אנשים עם מוגבלות ונגישות","23","האם על המדינה להרחיב ולהקדים את השירותים והזכויות לאנשים עם מוגבלות על חשבון תקציבים ציבוריים?"
"בריאות ורווחה","אנשים עם מוגבלות","5","ועדות רפואיות נכות","אנשים עם מוגבלות ונגישות","22","האם יש לפשט ולהקל על תהליכי קביעת הזכויות והוועדות הרפואיות לאנשים עם מוגבלות?"
"בריאות ורווחה","אנשים עם מוגבלות","5","נגישות שירותי דיגיטל","אנשים עם מוגבלות ונגישות","10","האם לחייב עסקים ומוסדות ציבור בהנגשה מלאה של שירותים דיגיטליים ומוקד-טלפוני לאנשים עם מוגבלות?"
"בריאות ורווחה","אנשים עם מוגבלות","5","הנגשה ותמיכה לנכים","אנשים עם מוגבלות ונגישות","9","האם על המדינה להרחיב באופן משמעותי את חובות ההנגשה והתמיכה הכלכלית לאוכלוסיות מוחלשות?"
"חינוך, תרבות ודת","תרבות ומורשת","2","הנצחה ממלכתית","תרבות, מורשת והנצחה","79","האם על המדינה להקים ולממן גופים ואירועי הנצחה ממלכתיים ייעודיים למורשת קבוצות שונות?"
"חינוך, תרבות ודת","תרבות ומורשת","2","נרטיב לאומי ותרבותי","תרבות, מורשת והנצחה","14","האם יש לתת עדיפות לחיזוק נרטיב לאומי אחיד במרחב הציבורי או להכרה בנרטיבים ותרבויות מגוונות?"
"דיור, תחבורה ותשתיות","תכנון ובנייה","3","אכיפת עבירות בניה","תכנון, בנייה והתחדשות עירונית","46","האם לתת עדיפות לאכיפה מחמירה נגד עבירות בנייה וקידום תשתיות לאומיות או להקל באכיפה ולאפשר הסדרה תכנונית באזורים חסרי תוכניות?"
"דיור, תחבורה ותשתיות","תכנון ובנייה","3","הליכי תכנון ובנייה","תכנון, בנייה והתחדשות עירונית","34","האם יש לצמצם הליכי בירוקרטיה ותכנון כדי לזרז בנייה, מיגון והתחדשות עירונית?"
"דיור, תחבורה ותשתיות","תכנון ובנייה","3","שטחים פתוחים ובנייה","תכנון, בנייה והתחדשות עירונית","8","האם יש לתת עדיפות להרחבת בנייה ופיתוח עירוני או לשמירה על שטחים פתוחים וחקלאיים?"
"כלכלה, מיסים ויוקר המחיה","תקציבים ומענקים","3","תקציבים ומענקים ישירים","תקציב, מענקים וסיוע כלכלי","58","האם המדינה צריכה להגדיל את התקציבים והמענקים הישירים לאוכלוסיות וענפים במצוקה?"
"כלכלה, מיסים ויוקר המחיה","תקציבים ומענקים","3","התניית תקציבים ממשלתיים","תקציב, מענקים וסיוע כלכלי","16","האם המדינה צריכה להתנות או למנוע תקציבים ממשלתיים מגופים ומוסדות ציבור בשל התנהלותם?"
"כלכלה, מיסים ויוקר המחיה","תקציבים ומענקים","3","תקציבים ממשלתיים","תקציב, מענקים וסיוע כלכלי","13","האם יש לתעדף הקצאת תקציבים ממשלתיים לפי צרכים חברתיים ממוקדים או לשמור על גמישות וניהול רוחבי?"
"עבודה, זכויות ושוויון","שוויון ומאבק בהפליה","2","העדפה מתקנת","שוויון ואיסור הפליה","63","האם יש לחייב בחקיקה מתן העדפה מתקנת ומכסות ייצוג לקבוצות שונות בגופים ציבוריים?"
"עבודה, זכויות ושוויון","שוויון ומאבק בהפליה","2","אכיפת איסור הפליה","שוויון ואיסור הפליה","20","האם יש להחמיר את האכיפה והענישה נגד גורמים המפלים במוצרים, שירותים ומקומות ציבוריים?"
"משפט, ממשל ודמוקרטיה","מערכת המשפט ושופטים","4","מינוי שופטים","מערכת המשפט ובתי המשפט","27","האם יש לתת לנבחרי ציבור שליטה רבה יותר במינוי שופטים?"
"משפט, ממשל ודמוקרטיה","מערכת המשפט ושופטים","4","גמישות משפטית ואכיפה","מערכת המשפט ובתי המשפט","21","האם יש לתת עדיפות לגמישות משפטית ומענה למקרים פרטניים על פני אכיפה נוקשה וכללים אחידים?"
"משפט, ממשל ודמוקרטיה","מערכת המשפט ושופטים","4","שקיפות מערכת המשפט","מערכת המשפט ובתי המשפט","20","האם לתת עדיפות לשקיפות ופתיחות לציבור במערכת המשפט או לשיקולים של יעילות וניהול פנימי?"
"משפט, ממשל ודמוקרטיה","מערכת המשפט ושופטים","4","שיטת מינוי שופטים","מערכת המשפט ובתי המשפט","8","האם יש לשנות את שיטת מינוי השופטים ובכירים במערכת המשפט כדי לחזק את הגיוון והאמון הציבורי?"
"משפט, ממשל ודמוקרטיה","חוקה וזכויות יסוד","5","ביטול חוקים בבג״ץ","חוקה, חוקי יסוד וביקורת שיפוטית","30","האם יש להגביל את סמכות בית המשפט לבטל חוקים ולהבטיח את עליונות הכנסת?"
"משפט, ממשל ודמוקרטיה","חוקה וזכויות יסוד","5","כינון חוקה","חוקה, חוקי יסוד וביקורת שיפוטית","15","האם יש לכונן חוקה רשמית ולקבוע בה חוקי יסוד מקיפים לזכויות ולערכי המדינה?"
"משפט, ממשל ודמוקרטיה","חוקה וזכויות יסוד","5","עיגון עקרון השוויון","חוקה, חוקי יסוד וביקורת שיפוטית","13","האם יש לעגן בחוקי היסוד את עקרון השוויון ואת ערכי מגילת העצמאות?"
"משפט, ממשל ודמוקרטיה","חוקה וזכויות יסוד","5","רוב לחוקי יסוד","חוקה, חוקי יסוד וביקורת שיפוטית","9","האם יש לחייב רוב מיוחס בכנסת כדי לשנות חוקי יסוד וערכי יסוד?"
"משפט, ממשל ודמוקרטיה","חוקה וזכויות יסוד","5","התערבות בהחלטות ממשל","חוקה, חוקי יסוד וביקורת שיפוטית","7","האם יש להגביל את סמכותו של בית המשפט להתערב בחקיקה ובהחלטות ממשל?"
"דיור, תחבורה ותשתיות","נהיגה ותחבורה פרטית","5","מחירי חניה","כבישים, רכב ובטיחות בדרכים","32","האם יש להטיל פיקוח ממשלתי והגבלות על מחירי חניה ושירותי רכב כדי להגן על הצרכנים?"
"דיור, תחבורה ותשתיות","נהיגה ותחבורה פרטית","5","אכיפת עבירות תנועה","כבישים, רכב ובטיחות בדרכים","19","האם להחמיר את האכיפה והענישה נגד עבירות תנועה ושימוש אסור ברכב?"
"דיור, תחבורה ותשתיות","נהיגה ותחבורה פרטית","5","עלויות אחזקת רכב","כבישים, רכב ובטיחות בדרכים","9","האם להוזיל את עלויות האחזקה, הרישוי והביטוח של כלי רכב פרטיים?"
"דיור, תחבורה ותשתיות","נהיגה ותחבורה פרטית","5","פיקוח תיקוני רכב","כבישים, רכב ובטיחות בדרכים","8","האם על המדינה להטיל פיקוח מחמיר וחובת שקיפות על תיקוני רכב, חלקי חילוף ומאגרי מידע כדי למנוע הונאות ובטיחות לקויה?"
"דיור, תחבורה ותשתיות","נהיגה ותחבורה פרטית","5","אכיפת כלים ממונעים","כבישים, רכב ובטיחות בדרכים","6","האם להחמיר את הפיקוח והאכיפה באמצעות רישום וחיוב כלים ממונעים קלים?"
"סביבה, חקלאות ושלטון מקומי","חקלאות ומזון","1","שוק החקלאות והמזון","חקלאות ומשק מזון","68","האם על המדינה להתערב בשוק החקלאות והמזון כדי להבטיח ביטחון תזונתי ופיקוח, או להסיר מגבלות וליצור שוק חופשי?"
"עבודה, זכויות ושוויון","זכויות נשים ומגדר","4","מכסות ייצוג לנשים","נשים ומגדר","27","האם על המדינה לחייב מכסות ייצוג והעדפה מתקנת לנשים בגופים ציבוריים ופוליטיים?"
"עבודה, זכויות ושוויון","זכויות נשים ומגדר","4","שוויון מגדרי","נשים ומגדר","18","האם על המדינה לחייב מדיניות פעילה לקידום שוויון מגדרי וצמצום פערים?"
"עבודה, זכויות ושוויון","זכויות נשים ומגדר","4","מניעת הטרדות מיניות","נשים ומגדר","17","האם על המדינה להרחיב את ההגנה המשפטית, האכיפה והאחריות המוסדית למניעת הטרדות מיניות ואלימות?"
"עבודה, זכויות ושוויון","זכויות נשים ומגדר","4","הפרדה מגדרית","נשים ומגדר","5","האם לאפשר קיומן של במסגרות נפרדות למגדרים שונים במוסדות ציבוריים והשכלה גבוהה?"
"בריאות ורווחה","זקנה וסיעוד","2","בירוקרטיה וזכויות קשישים","קשישים וסיעוד","49","האם יש להפחית את הנטל הבירוקרטי והכלכלי על קשישים באמצעות מתן הקלות והרחבת זכויות אוטומטיות?"
"בריאות ורווחה","זקנה וסיעוד","2","שירותי קשישים","קשישים וסיעוד","14","האם להטיל הגבלות ופיקוח קפדניים על גופים ונותני שירותים הפועלים מול קשישים?"
"חינוך, תרבות ודת","דת ומעמד אישי","5","נישואين אזרחיים","דת, רבנות ומעמד אישי","18","האם לאפשר מסלול נישואין וגירושין אזרחי לצד המערכת הדתית הקיימת?"
